accuracy,accuracy_female,accuracy_male,delta_dp,delta_eo,delta_eqodds,n_estimators,max_depth,min_samples_split,mean_gap,composite_score
0.892,0.8833333333333333,0.9021739130434783,0.18283413848631241,0.2153234145471113,0.21578421640393364,50,10,2,0.2046472564791191,0.6873527435208809
0.888,0.8870370370370371,0.8891304347826087,0.17426731078904992,0.19115706155207368,0.19232824277013133,50,10,5,0.18591753837041827,0.7020824616295818
0.888,0.8833333333333333,0.8934782608695652,0.17748792270531402,0.17677390326939188,0.17677390326939188,50,10,10,0.1770119097480326,0.7109880902519674
0.902,0.8981481481481481,0.9065217391304348,0.1766183574879227,0.2061147614379585,0.20617621789383084,50,20,2,0.19630311227323735,0.7056968877267626
0.889,0.8796296296296297,0.9,0.17413848631239937,0.20290455733516852,0.2051625350584864,50,20,5,0.19406852623535142,0.6949314737646486
0.894,0.8907407407407407,0.8978260869565218,0.1751368760064412,0.1933085958408361,0.1935126312743324,50,20,10,0.18731936770720323,0.7066806322927968
0.904,0.8944444444444445,0.9152173913043479,0.175877616747182,0.22086278645099106,0.22151387370349038,50,None,2,0.20608475896722114,0.6979152410327789
0.896,0.8907407407407407,0.9021739130434783,0.17523349436392915,0.2221696121717191,0.2221696121717191,50,None,5,0.20652423956912247,0.6894757604308775
0.897,0.9037037037037037,0.8891304347826087,0.17352657004830918,0.18454481601805936,0.18566410691591254,50,None,10,0.18124516432742702,0.715754835672573
0.889,0.8870370370370371,0.8913043478260869,0.17748792270531402,0.22008748636341835,0.221182924052245,100,10,2,0.20625277770699246,0.6827472222930075
0.889,0.8888888888888888,0.8891304347826087,0.17648953301127215,0.22298110045804426,0.22399428104439556,100,10,5,0.20782163817123733,0.6811783618287627
0.89,0.8907407407407407,0.8891304347826087,0.17574879227053142,0.192678236025102,0.19281113794904872,100,10,10,0.18707938874822738,0.7029206112517726
0.9,0.8981481481481481,0.9021739130434783,0.1751368760064412,0.1920326269822492,0.19206790703999393,100,20,2,0.18641247000956143,0.7135875299904386
0.891,0.8833333333333333,0.9,0.1748792270531401,0.20735735787860055,0.2085575011599376,100,20,5,0.19693136203055941,0.6940686379694406
0.899,0.8962962962962963,0.9021739130434783,0.17413848631239937,0.17198930401086598,0.17198930401086598,100,20,10,0.17270569811137712,0.7262943018886229
0.9,0.9,0.9,0.17413848631239937,0.18377924940805299,0.18549289852221557,100,None,2,0.1811368780808893,0.7188631219191107
0.897,0.8907407407407407,0.9043478260869565,0.17648953301127218,0.2337187043924164,0.2337187043924164,100,None,5,0.214642313932035,0.682357686067965
0.905,0.9092592592592592,0.9,0.17500805152979065,0.1873368355338016,0.18916456403835935,100,None,10,0.18383648370065053,0.7211635162993495
0.893,0.8944444444444445,0.8913043478260869,0.17561996779388084,0.19985173275781945,0.20143309516235258,200,10,2,0.19230159857135098,0.700698401428649
0.896,0.8944444444444445,0.8978260869565218,0.17227053140096618,0.19078957325741341,0.19173499565088484,200,10,5,0.18493170010308813,0.7110682998969119
0.887,0.8907407407407407,0.8826086956521739,0.17648953301127213,0.21218353006770946,0.21218353006770946,200,10,10,0.20028553104889701,0.686714468951103
0.9,0.9018518518518519,0.8978260869565218,0.17587761674718194,0.18085910607281858,0.1817630941393414,200,20,2,0.1794999389864473,0.7205000610135527
0.899,0.8925925925925926,0.9065217391304348,0.1747504025764895,0.18898818776601028,0.19078973987244044,200,20,5,0.1848427767383134,0.7141572232616866
0.9,0.8962962962962963,0.9043478260869565,0.1772302737520129,0.194137304300338,0.194137304300338,200,20,10,0.1885016274508963,0.7114983725491038
0.911,0.9092592592592592,0.9130434782608695,0.1699194847020934,0.19466200791133392,0.19483754375760148,200,None,2,0.18647301212367626,0.7245269878763237
0.903,0.9018518518518519,0.9043478260869565,0.17909822866344607,0.22506545498229694,0.22520776382165328,200,None,5,0.2097904824891321,0.6932095175108679
0.902,0.9037037037037037,0.9,0.17239935587761673,0.18842182367384436,0.18842182367384436,200,None,10,0.18308100107510183,0.7189189989248982
