dim,r,p_value,importance
197,0.7748671717691613,5.169963321736845e-201,0.004192973544586848
153,-0.7450349379328217,1.0564694012829469e-177,0.006013259829189218
755,-0.7444163316969494,2.968518198018664e-177,0.004096894921840805
500,0.6804991691511537,6.225482008291826e-137,0.010248651409776795
370,-0.6745427113937561,1.075135762509113e-133,0.008057578389200949
387,-0.5295173941098725,2.3397867503270337e-73,0.010859261796957918
185,-0.5185932111575088,6.297165372605108e-70,0.0038830164926271847
75,0.5011172680243348,1.0793796315025767e-64,0.014408085533979147
683,0.496190593018995,2.8486605031832235e-63,0.007486603763736926
482,0.4927945979991467,2.636544102621726e-62,0.005462059284501641
187,0.49029108678913946,1.3382061224009287e-61,0.00613815258025471
619,0.4735976460313882,4.831048359875875e-57,0.005618278386355451
621,0.4642773492830242,1.321403510534999e-54,0.006182881609895401
641,-0.3907046441004415,8.153852197467518e-38,0.003788791108627755
522,0.3543699370472871,5.870021355820133e-31,0.004440780636850134
406,-0.3478080894041547,8.232950676773414e-30,0.00472342927791912
296,-0.30058072958231236,2.5038970036651977e-22,0.004778966354648252
580,0.2799886677274597,1.812777223012744e-19,0.007387012145949382
323,-0.2534951587063092,3.9689574452773607e-16,0.004715560044928239
115,-0.2532987491086733,4.188464555547185e-16,0.005516230022024941
4,-0.2518380557602555,6.241514991146044e-16,0.008907115092476535
714,-0.23693124127694554,3.164694552753598e-14,0.0067005576413416935
407,-0.23070920879383822,1.508474820700177e-13,0.008361065738583256
710,-0.19843976217459125,2.4448736419885965e-10,0.005284250214496506
747,-0.19800975963646963,2.6767669318581746e-10,0.005850125159108899
282,0.19687952046016982,3.3933549946479347e-10,0.00488871179757
540,0.19026346980566433,1.3227032854265213e-09,0.00672521676470586
415,0.18910795599446606,1.669258230149142e-09,0.0040130990294190835
742,0.16259838989514186,2.3431706840339052e-07,0.015787924990102172
127,0.15390282110481604,1.008830021379661e-06,0.004063671671352884
418,0.1537359542614024,1.0366930300350704e-06,0.005672544185841965
527,-0.13411865151769242,2.0892037270392507e-05,0.01135361854018
417,-0.12245962104078954,0.0001034772546581539,0.005204986142229314
502,-0.1221021624501785,0.00010844663065780226,0.013067146710695225
177,0.11785097695081033,0.00018761289112651387,0.005170380049167691
677,0.11606291829111444,0.00023499824550836824,0.004378367756841654
312,0.11486051802029257,0.00027293699626388903,0.007228336973198511
538,0.11414864278882794,0.0002980249590399686,0.012529385283942438
93,0.11038487291810958,0.00047051847290952064,0.009010921072456421
227,-0.10181037750663663,0.001264662236553806,0.007260221190626372
90,0.08807242454983005,0.005319379441633847,0.0046061658323175644
218,-0.0788427750605659,0.01263152891347335,0.01661102170341856
741,0.07410889558846605,0.019087302167787354,0.010541889524402888
249,-0.06782200374946035,0.031992265780004435,0.006464006569375502
495,-0.056049322973067,0.07645912188112297,0.004701136799138507
529,-0.03849537168835815,0.22388634162720183,0.005751896074104809
123,-0.02506627013808403,0.42847842928512087,0.004555379093369302
398,0.020809547040516425,0.5109856010530922,0.0037383097931754914
440,-0.011999808357090441,0.7046831875058654,0.012618226944321333
333,-5.38596500661466e-05,0.9986427499721996,0.005224282606004443
