dim,importance
218,0.01661102170341856
742,0.015787924990102172
75,0.014408085533979147
502,0.013067146710695225
440,0.012618226944321333
538,0.012529385283942438
527,0.01135361854018
387,0.010859261796957918
741,0.010541889524402888
500,0.010248651409776795
93,0.009010921072456421
4,0.008907115092476535
407,0.008361065738583256
370,0.008057578389200949
683,0.007486603763736926
580,0.007387012145949382
227,0.007260221190626372
312,0.007228336973198511
540,0.00672521676470586
714,0.0067005576413416935
249,0.006464006569375502
621,0.006182881609895401
187,0.00613815258025471
153,0.006013259829189218
747,0.005850125159108899
529,0.005751896074104809
418,0.005672544185841965
619,0.005618278386355451
115,0.005516230022024941
482,0.005462059284501641
710,0.005284250214496506
333,0.005224282606004443
417,0.005204986142229314
177,0.005170380049167691
282,0.00488871179757
296,0.004778966354648252
406,0.00472342927791912
323,0.004715560044928239
495,0.004701136799138507
90,0.0046061658323175644
123,0.004555379093369302
522,0.004440780636850134
677,0.004378367756841654
197,0.004192973544586848
755,0.004096894921840805
127,0.004063671671352884
415,0.0040130990294190835
185,0.0038830164926271847
641,0.003788791108627755
398,0.0037383097931754914
